,Unnamed: 0,Unnamed: 0.1,date,destination,duration,origination,price,time
4,0,,10-27-2019,Philadelphia,4h 15m,DC,      $295   ,   7:00 AM   –   11:15 AM   
5,0,,10-27-2019,Philadelphia,5h 3m,DC,      $295   ,   8:30 AM   –   1:33 PM   
6,0,,10-27-2019,Philadelphia,4h 47m,DC,      $295   ,   11:45 AM   –   4:32 PM   
7,0,,10-27-2019,Philadelphia,4h 47m,DC,      $295   ,   12:45 PM   –   5:32 PM   
8,0,,10-27-2019,Philadelphia,4h 46m,DC,      $295   ,   2:45 PM   –   7:31 PM   
9,0,,10-27-2019,Philadelphia,5h 13m,DC,      $295   ,   4:15 PM   –   9:28 PM   
10,0,,10-27-2019,Philadelphia,5h 12m,DC,      $295   ,   5:30 PM   –   10:42 PM   
11,0,,10-27-2019,Philadelphia,4h 48m,DC,      $295   ,   6:45 PM   –   11:33 PM   
12,0,,10-27-2019,Philadelphia,6h 21m,DC,   $301   ,   6:05 AM   –   12:26 PM   
13,0,,10-27-2019,Philadelphia,6h 23m,DC,      $321   ,   8:00 AM   –   2:23 PM   
14,0,,10-27-2019,Philadelphia,7h 25m,DC,      $334   ,   5:06 PM   –   12:31 AM+1   
15,0,,10-27-2019,Philadelphia,59m,DC,      $390   ,   6:10 PM   –   7:09 PM   
16,0,,10-27-2019,Philadelphia,59m,DC,      $390   ,   7:11 PM   –   8:10 PM   
17,0,,10-27-2019,Philadelphia,1h 5m,DC,      $408   ,   8:00 AM   –   9:05 AM   
18,0,,10-27-2019,Philadelphia,1h 12m,DC,      $408   ,   3:13 PM   –   4:25 PM   
19,0,,10-27-2019,Philadelphia,1h 4m,DC,      $408   ,   7:10 PM   –   8:14 PM   
